tag,count
colorful_background,877
spacecraft_interior,869
dirt_road,854
bus_interior,852
train_station_platform,844
hangar,842
fiery_background,829
laboratory,823
tall_grass,821
battlefield,803
lace_background,781
wet_floor,775
hedge,770
tile_roof,763
boxing_ring,762
cave_interior,762
sketch_background,757
riverbank,756
greenhouse,753
tunnel,744
ginkgo_tree,741
traffic,740
stone_walkway,727
bakery,726
aircraft_carrier,725
bubble_background,724
underground,723
baseball_stadium,718
yatai,714
meteor,709
crater,706
sports_festival,702
kindergarten,697
horse_racing_track,695
planetary_ring,694
flower_bed,689
canal,688
saturn_(planet),686
coral_reef,686
tavern,673
food-themed_background,669
water_slide,655
in_bowl,653
field_of_blades,640
multicolored_sky,639
in_orbit,638
hotel_room,638
roller_coaster,635
broken_wall,630
subway,628
witch's_labyrinth,625
love_hotel,624
market,622
brick_road,614
tennis_court,613
tokyo_big_sight,609
wetland,609
farm,608
supermarket,605
factory,601
france,599
escalator,597
harbor,597
empty_pool,596
red_light,592
in_bag,590
parking_lot,590
mexico,585
cathedral,583
grasslands,577
italy,575
canyon,570
nest,564
unlimited_blade_works_(reality_marble),552
airplane_interior,552
well,546
highway,542
karaoke_box,540
in_bathtub,530
otaku_room,519
wooden_bridge,518
on_railroad_tracks,517
in_bottle,514
china,510
tokyo_tower,509
wooden_ceiling,507
blizzard,507
fruit_tree,507
kourindou,504
bonfire,503
spire,500
brazil,498
yellow_moon,496
tea_party,494
coco's,494
valley,493
vegetation,492
lantern_festival,492
angel_mort,491
step_and_repeat,491
big_dipper,488
laundromat,488
tropical,487
gothic_architecture,485
pink_clouds,484
racetrack,483
on_moon,480
in_cage,480
in_shopping_cart,478
space_station,467
airport,466
in_locker,461
complex_exterior,451
gazebo,445
united_kingdom,442
on_toilet,438
shibuya_(tokyo),438
stairwell,436
on_flower,433
eiffel_tower,433
snow_shelter,432
spiral_staircase,432
pirate_ship,428
maid_cafe,427
scaffolding,419
starry_moon,419
on_cloud,418
birthday_party,414
wainscoting,406
shipwreck,405
savannah,404
sofmap_background,403
izakaya,402
basketball_court,400
ukraine,400
stalactite,400
against_door,397
gensokyo,395
giant_tree,394
black_sun,393
against_table,391
soapland,390
barn,389
bio_lab,386
kyoto,386
skylight,385
half_moon,383
brown_sky,380
after_rain,377
dilapidated,376
shared_bed,375
cancer_(constellation),374
leo_(constellation),374
platform,368
in_trash_can,362
greco-roman_architecture,361
fruit_background,360
maple_tree,360
ferris_wheel_interior,358
libra_(constellation),358
diner,356
tornado,355
multiple_moons,354
construction_site,354
new_york_city,354
clubroom,353
elizabeth_tower,351
orange_clouds,350
ryokan,349
theater,347
garage,346
overpass,345
triangle_background,345
taurus_(constellation),342
burning_building,342
cassiopeia_(constellation),341
watercolor_background,340
water_world,339
mall,338
rabbit_background,332
mosaic_background,327
taiwan,326
conveyor_belt,325
astral_express_(honkai:_star_rail),325
hut,324
solar_eclipse,324
red_clouds,319
treehouse,318
flower_shop,318
corner,315
museum,315
clothes_shop,314
jupiter_(planet),312
nightclub,311
seafloor,310
pedestrian_bridge,310
soil,308
