tag,count
birthday_cake,5238
remote_control_vibrator,5232
lotus,5227
broken_glass,5215
figure,5201
red_umbrella,5196
shovel,5176
pill,5161
plastic_bag,5146
ramen,5120
owl,5108
sake_bottle,5104
bullpup,5083
flask,5072
omelet,5058
speaker,5056
riding_crop,5051
dice,5038
candlestand,5002
pudding,4992
goldfish,4950
bubble_tea,4943
four-leaf_clover,4935
drumsticks,4935
grenade,4919
binoculars,4904
watson_cross,4889
seashell,4883
disposable_coffee_cup,4873
ice_cube,4858
paint,4812
candy_cane,4809
lotion,4788
heart-shaped_pillow,4770
cigar,4766
sink,4751
quill,4750
laevatein_(touhou),4737
computer_mouse,4726
ladder,4715
daisy_(flower),4711
chainsaw,4708
carpet,4671
purple_umbrella,4650
toothbrush,4647
bread_slice,4642
string_of_flags,4641
shark,4619
heart_balloon,4616
beach_towel,4614
shell_casing,4613
clothes_hanger,4609
excalibur_(fate/stay_night),4587
bento,4580
club_(weapon),4573
rug,4541
instrument_case,4514
shaved_ice,4513
shower_head,4491
yunomi,4467
dessert,4436
corpse,4421
shrimp,4373
panda,4371
tulip,4365
light_bulb,4361
tombstone,4350
dove,4348
lemon_slice,4345
keyhole,4334
white_bird,4301
rod_of_remorse,4296
talisman,4277
gae_bolg_(fate),4247
swirl_lollipop,4232
skewer,4230
steering_wheel,4221
paddle,4217
soccer_ball,4213
spatula,4210
mop,4184
milk_bottle,4181
padlock,4179
black_rose,4176
transparent_umbrella,4173
cocktail_glass,4172
strawberry_shortcake,4162
safety_pin,4162
pig,4129
corded_phone,4113
mallet,4105
greatsword,4102
champagne_flute,4097
sweets,4093
mage_staff,4083
rice_bowl,4046
calendar_(object),4042
stripper_pole,4036
pot,4016
surfboard,4001
whipped_cream,3995
vending_machine,3959
wooden_table,3943
wire,3939
magazine_(object),3921
pastry,3920
milk_carton,3904
inflatable_toy,3882
eraser,3877
hitachi_magic_wand,3877
drone,3868
fried_egg,3863
potato_chips,3862
tokkuri,3829
egg_(food),3828
toast,3792
pearl_(gemstone),3775
swing,3767
cooking_pot,3762
curry,3758
hamster,3757
caterpillar_tracks,3754
glowing_sword,3745
volleyball,3725
drawer,3719
sketchbook,3718
vial,3710
wreath,3692
torch,3687
industrial_pipe,3677
ace_(playing_card),3676
keyboard_(instrument),3668
crepe,3666
rocket_launcher,3657
juice_box,3646
whisk,3640
tarot,3630
blueberry,3616
bow_(music),3615
guitar_case,3612
drawing_tablet,3605
